"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","15","0","3","3","65","0","0","false","0","Kickoff"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","15","0","3","3","75","1","10","false","5","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","15","0","3","3","70","2","5","false","5","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","15","0","3","3","65","1","10","false","4","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","15","0","3","3","61","2","6","false","-1","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","15","0","3","3","62","3","7","false","-5","Sack"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","12","37","3","3","67","4","12","false","0","Punt"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","95","1","10","false","1","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","94","2","9","false","1","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","93","3","8","false","10","Penalty"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","83","1","10","false","2","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","81","2","8","false","4","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","77","3","4","false","23","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","12","37","3","3","54","1","10","false","5","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","8","50","3","3","49","2","5","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","8","50","3","3","49","3","5","false","2","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","0","1","8","0","3","3","47","4","3","false","-6","Sack"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","47","1","10","false","3","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","44","2","7","false","6","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","38","3","1","false","2","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","36","1","10","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","36","2","10","false","8","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","28","3","2","false","2","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","26","1","10","false","5","Rush"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","21","2","5","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","0","0","1","8","0","3","3","21","3","5","false","-2","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","4","57","3","3","23","4","7","true","41","Field Goal Good"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","4","57","3","3","65","0","0","false","0","Kickoff"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","4","57","3","3","75","1","10","false","7","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","4","57","3","3","68","2","3","false","7","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","4","57","3","3","61","1","10","false","-10","Penalty"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","4","57","3","3","71","1","20","false","11","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","4","57","3","3","60","2","9","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","4","57","3","3","60","3","9","false","2","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","3","1","2","6","3","3","58","4","7","false","0","Punt"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","2","6","3","3","80","1","10","false","11","Rush"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","2","6","3","3","69","1","10","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","2","6","3","3","69","2","10","false","5","Rush"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","2","6","3","3","64","3","5","false","4","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","2","6","3","3","60","4","1","false","4","Rush"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","2","6","3","3","56","1","10","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","0","0","3","3","56","2","10","false","5","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","3","0","1","0","0","3","3","56","0","10","false","0","End Period"
"Jacksonville State","UTEP","Jacksonville State","3","0","2","15","0","3","3","51","3","5","false","17","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","3","0","2","15","0","3","3","34","1","10","false","5","Rush"
"Jacksonville State","UTEP","Jacksonville State","3","0","2","15","0","3","3","29","2","5","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","3","0","2","15","0","3","3","29","3","5","false","10","Penalty"
"Jacksonville State","UTEP","Jacksonville State","3","0","2","15","0","3","3","19","1","10","false","15","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","13","26","3","3","4","1","4","true","4","Rushing Touchdown"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","13","26","3","3","65","0","0","false","0","Kickoff"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","13","26","3","3","75","1","10","false","11","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","13","26","3","3","64","1","10","false","7","Pass Reception"
