"Offense","Defense","Home","Away","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"Army","Navy","Army","Navy","0","0","1","15","0","3","3","35","1","10","false","0","Kickoff"
"Navy","Army","Army","Navy","0","0","1","14","31","3","3","25","1","10","false","4","Rush"
"Navy","Army","Army","Navy","0","0","1","14","28","3","3","29","2","6","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","0","0","1","14","0","3","3","29","3","6","false","-2","Rush"
"Navy","Army","Army","Navy","0","0","1","13","37","3","3","27","4","8","false","0","Punt"
"Army","Navy","Army","Navy","0","0","1","13","15","3","3","26","1","10","false","2","Rush"
"Army","Navy","Army","Navy","0","0","1","12","52","3","3","28","2","8","false","7","Rush"
"Army","Navy","Army","Navy","0","0","1","12","14","3","3","35","3","1","false","4","Rush"
"Army","Navy","Army","Navy","0","0","1","11","34","3","3","39","1","10","false","3","Rush"
"Army","Navy","Army","Navy","0","0","1","10","47","3","3","42","2","7","false","-5","Penalty"
"Army","Navy","Army","Navy","0","0","1","10","18","3","3","37","2","12","false","10","Pass Reception"
"Army","Navy","Army","Navy","0","0","1","9","48","3","3","47","3","2","false","0","Rush"
"Army","Navy","Army","Navy","0","0","1","9","24","3","3","47","4","2","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","0","0","1","8","56","3","3","53","1","10","false","5","Rush"
"Navy","Army","Army","Navy","0","0","1","8","18","3","3","58","2","5","false","1","Rush"
"Navy","Army","Army","Navy","0","0","1","7","45","3","3","59","3","4","false","5","Rush"
"Navy","Army","Army","Navy","0","0","1","7","2","3","3","64","1","10","false","12","Rush"
"Navy","Army","Army","Navy","0","0","1","6","32","3","3","76","1","10","false","30","Pass Interception Return"
"Army","Navy","Army","Navy","0","0","1","6","3","3","3","35","1","10","false","12","Rush"
"Army","Navy","Army","Navy","0","0","1","5","24","3","3","47","1","10","false","9","Rush"
"Army","Navy","Army","Navy","0","0","1","5","5","3","3","56","2","1","false","3","Rush"
"Army","Navy","Army","Navy","0","0","1","4","10","3","3","59","1","10","false","15","Rush"
"Army","Navy","Army","Navy","0","0","1","3","29","3","3","74","1","10","false","0","Rush"
"Army","Navy","Army","Navy","0","0","1","2","44","3","3","74","2","10","false","5","Pass Reception"
"Army","Navy","Army","Navy","0","0","1","2","26","3","3","79","3","5","false","3","Rush"
"Army","Navy","Army","Navy","0","0","1","1","54","2","3","82","4","2","false","0","Timeout"
"Army","Navy","Army","Navy","0","0","1","1","26","2","3","82","4","2","false","3","Rush"
"Army","Navy","Army","Navy","0","0","1","0","51","2","3","85","1","10","false","8","Rush"
"Army","Navy","Army","Navy","0","0","1","0","1","2","3","93","2","2","false","3","Rush"
"Army","Navy","Army","Navy","0","0","1","0","0","2","3","93","0","2","false","0","End Period"
"Army","Navy","Army","Navy","0","0","2","14","34","2","3","96","1","4","false","0","Rush"
"Army","Navy","Army","Navy","0","7","2","14","19","2","3","96","2","4","true","4","Passing Touchdown"
"Army","Navy","Army","Navy","0","7","2","14","19","2","3","35","2","10","false","0","Kickoff"
"Navy","Army","Army","Navy","7","0","2","14","9","3","2","25","1","10","false","3","Rush"
"Navy","Army","Army","Navy","7","0","2","13","36","3","2","28","2","7","false","6","Rush"
"Navy","Army","Army","Navy","7","0","2","13","15","3","2","34","3","1","false","-5","Penalty"
"Navy","Army","Army","Navy","7","0","2","12","47","3","2","29","3","6","false","1","Rush"
"Navy","Army","Army","Navy","7","0","2","12","16","2","2","30","4","5","false","0","Timeout"
"Navy","Army","Army","Navy","7","0","2","12","10","2","2","30","4","5","false","0","Punt"
"Army","Navy","Army","Navy","0","7","2","11","40","2","2","30","1","10","false","4","Rush"
"Army","Navy","Army","Navy","0","7","2","11","21","2","2","34","2","6","false","3","Rush"
"Army","Navy","Army","Navy","0","7","2","10","31","2","2","37","3","3","false","8","Pass Reception"
"Army","Navy","Army","Navy","0","7","2","9","42","2","2","45","1","10","false","0","Rush"
"Army","Navy","Army","Navy","0","7","2","9","17","2","2","45","2","10","false","2","Rush"
"Army","Navy","Army","Navy","0","7","2","8","51","2","2","47","3","8","false","0","Pass Incompletion"
"Army","Navy","Army","Navy","0","7","2","8","41","2","2","47","4","8","false","0","Punt"
"Navy","Army","Army","Navy","7","0","2","8","29","2","2","16","1","10","false","3","Rush"
"Navy","Army","Army","Navy","7","0","2","7","20","2","2","19","2","7","false","-3","Rush"
"Navy","Army","Army","Navy","7","0","2","7","6","2","2","16","3","10","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","7","0","2","7","6","2","2","16","4","10","false","-5","Penalty"
"Navy","Army","Army","Navy","7","0","2","6","56","2","2","11","4","15","false","3","Punt"
"Army","Navy","Army","Navy","0","7","2","6","37","2","2","50","1","10","false","5","Rush"
"Army","Navy","Army","Navy","0","7","2","6","12","2","2","55","2","5","false","0","Pass Incompletion"
"Army","Navy","Army","Navy","0","7","2","5","50","2","2","55","3","5","false","1","Rush"
"Army","Navy","Army","Navy","0","7","2","5","21","2","2","56","4","4","false","0","Punt"
"Navy","Army","Army","Navy","7","0","2","5","6","2","2","18","1","10","false","6","Rush"
"Navy","Army","Army","Navy","7","0","2","4","25","2","2","24","2","4","false","5","Rush"
"Navy","Army","Army","Navy","7","0","2","3","48","2","2","29","1","10","false","5","Rush"
"Navy","Army","Army","Navy","7","0","2","2","55","2","2","34","2","5","false","8","Rush"
"Navy","Army","Army","Navy","7","0","2","2","29","2","2","42","1","10","false","5","Rush"
"Navy","Army","Army","Navy","7","0","2","2","15","2","2","47","2","5","false","8","Rush"
"Navy","Army","Army","Navy","7","0","2","2","0","2","2","55","1","10","false","5","Rush"
"Navy","Army","Army","Navy","7","0","2","1","55","2","2","60","2","5","false","1","Rush"
"Navy","Army","Army","Navy","7","0","2","1","25","2","2","61","3","4","false","2","Rush"
"Navy","Army","Army","Navy","7","0","2","1","7","1","2","63","4","2","false","0","Timeout"
"Navy","Army","Army","Navy","7","0","2","1","5","1","2","63","4","2","false","1","Rush"
"Army","Navy","Army","Navy","0","7","2","1","0","2","1","36","1","10","false","11","Rush"
"Army","Navy","Army","Navy","0","7","2","0","53","2","1","47","1","10","false","0","Pass Incompletion"
"Army","Navy","Army","Navy","0","7","2","0","40","2","1","47","2","10","false","9","Pass Reception"
"Army","Navy","Army","Navy","0","7","2","0","31","2","1","56","3","1","false","1","Rush"
"Army","Navy","Army","Navy","0","7","2","0","23","2","1","57","1","10","false","-5","Penalty"
"Army","Navy","Army","Navy","0","7","2","0","10","2","1","52","1","15","false","14","Pass Reception"
"Army","Navy","Army","Navy","0","7","2","0","2","2","1","66","2","1","false","4","Pass Reception"
"Army","Navy","Army","Navy","0","7","2","0","2","1","1","70","1","10","false","0","Timeout"
"Army","Navy","Army","Navy","0","7","2","0","2","1","0","70","1","10","false","0","Timeout"
"Army","Navy","Army","Navy","0","10","2","0","1","1","0","70","1","10","true","47","Field Goal Good"
"Army","Navy","Army","Navy","0","10","2","0","0","1","0","70","0","10","false","0","End of Half"
"Navy","Army","Army","Navy","10","0","3","15","0","3","3","35","1","10","false","1","Kickoff"
"Army","Navy","Army","Navy","0","10","3","14","45","3","3","5","1","10","false","4","Rush"
"Army","Navy","Army","Navy","0","10","3","14","3","3","3","9","2","6","false","14","Rush"
"Army","Navy","Army","Navy","0","10","3","13","31","3","3","23","1","10","false","2","Rush"
"Army","Navy","Army","Navy","0","10","3","13","2","3","3","25","2","8","false","10","Rush"
"Army","Navy","Army","Navy","0","10","3","12","30","3","3","35","1","10","false","3","Rush"
"Army","Navy","Army","Navy","0","10","3","11","47","3","3","38","2","7","false","-5","Penalty"
"Army","Navy","Army","Navy","0","10","3","11","12","3","3","33","2","12","false","6","Rush"
"Army","Navy","Army","Navy","0","10","3","10","40","3","3","39","3","6","false","0","Pass Incompletion"
"Army","Navy","Army","Navy","0","10","3","10","31","3","3","39","4","6","false","0","Punt"
"Navy","Army","Army","Navy","10","0","3","10","31","3","3","33","1","10","false","-1","Pass Reception"
"Navy","Army","Army","Navy","10","0","3","9","50","3","3","32","2","11","false","2","Rush"
"Navy","Army","Army","Navy","10","0","3","9","5","3","3","34","3","9","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","10","0","3","8","53","3","3","34","4","9","false","0","Punt"
"Army","Navy","Army","Navy","0","10","3","8","40","3","3","15","1","10","false","7","Rush"
"Army","Navy","Army","Navy","0","10","3","8","4","3","3","22","2","3","false","2","Rush"
"Army","Navy","Army","Navy","0","10","3","7","30","3","3","24","3","1","false","2","Rush"
"Army","Navy","Army","Navy","0","10","3","6","32","3","3","26","1","10","false","14","Rush"
"Army","Navy","Army","Navy","0","10","3","5","55","3","3","40","1","10","false","4","Rush"
"Army","Navy","Army","Navy","0","10","3","5","25","3","3","44","2","6","false","4","Rush"
"Army","Navy","Army","Navy","0","10","3","4","43","3","3","48","3","2","false","10","Rush"
"Army","Navy","Army","Navy","0","10","3","4","16","3","3","58","1","10","false","3","Rush"
"Army","Navy","Army","Navy","0","10","3","3","26","3","3","61","2","7","false","1","Rush"
"Army","Navy","Army","Navy","0","10","3","3","2","3","3","62","3","6","false","0","Pass Incompletion"
"Army","Navy","Army","Navy","0","10","3","2","53","3","3","62","4","6","false","0","Punt"
"Navy","Army","Army","Navy","10","0","3","2","30","3","3","11","1","10","false","1","Rush"
"Navy","Army","Army","Navy","10","0","3","2","9","3","3","12","2","9","false","9","Pass Reception"
"Navy","Army","Army","Navy","10","0","3","1","39","3","3","21","1","10","false","25","Rush"
"Navy","Army","Army","Navy","10","0","3","0","57","3","3","46","1","10","false","5","Pass Reception"
"Navy","Army","Army","Navy","10","0","3","0","31","3","3","51","2","5","false","9","Pass Reception"
"Navy","Army","Army","Navy","10","0","3","0","7","2","3","60","1","10","false","0","Timeout"
"Navy","Army","Army","Navy","10","0","3","0","1","2","3","60","1","10","false","3","Rush"
"Navy","Army","Army","Navy","10","0","3","0","0","2","3","60","0","10","false","0","End Period"
"Navy","Army","Army","Navy","10","0","4","14","56","2","3","63","2","7","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","10","0","4","14","37","2","3","63","3","7","false","13","Pass Reception"
"Navy","Army","Army","Navy","10","0","4","13","57","2","3","76","1","10","false","6","Rush"
"Navy","Army","Army","Navy","10","0","4","13","37","2","3","82","2","4","false","-5","Penalty"
"Navy","Army","Army","Navy","10","0","4","13","30","2","3","77","2","9","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","10","0","4","13","9","2","3","77","3","9","false","4","Rush"
"Navy","Army","Army","Navy","10","3","4","12","45","2","3","81","4","5","true","37","Field Goal Good"
"Navy","Army","Army","Navy","10","3","4","12","45","2","3","35","4","5","false","26","Kickoff"
"Army","Navy","Army","Navy","3","10","4","12","1","3","2","35","1","10","false","4","Rush"
"Army","Navy","Army","Navy","3","10","4","11","49","3","2","39","2","6","false","0","Pass Incompletion"
"Army","Navy","Army","Navy","3","10","4","11","22","3","2","39","3","6","false","1","Rush"
"Army","Navy","Army","Navy","3","10","4","10","54","3","2","40","4","5","false","0","Punt"
"Navy","Army","Army","Navy","10","3","4","10","31","2","3","20","1","10","false","6","Pass Reception"
"Navy","Army","Army","Navy","10","3","4","10","1","2","3","26","2","4","false","-4","Sack"
"Navy","Army","Army","Navy","10","3","4","9","41","2","3","22","3","8","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","10","3","4","9","41","2","3","22","4","8","false","-5","Penalty"
"Navy","Army","Army","Navy","10","3","4","9","34","2","3","17","4","13","false","0","Punt"
"Army","Navy","Army","Navy","3","10","4","9","17","3","2","47","1","10","false","1","Rush"
"Army","Navy","Army","Navy","3","10","4","8","33","3","2","48","2","9","false","2","Rush"
"Army","Navy","Army","Navy","3","10","4","7","41","3","2","50","3","7","false","-4","Rush"
"Army","Navy","Army","Navy","3","10","4","7","9","3","2","46","4","11","false","0","Punt"
"Navy","Army","Army","Navy","10","3","4","7","7","2","3","30","1","10","false","0","Pass Incompletion"
