"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"Ohio State","Indiana","Indiana","0","0","1","15","0","3","3","65","1","10","false","0","Kickoff"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","80","1","10","false","2","Rush"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","82","2","12","false","9","Pass Reception"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","73","3","3","false","19","Rush"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","54","1","10","false","3","Rush"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","51","2","7","false","9","Pass Reception"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","42","1","10","false","0","Pass Incompletion"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","42","2","10","false","8","Rush"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","34","3","2","false","0","Rush"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","34","4","2","false","10","Pass Reception"
"Ohio State","Indiana","Indiana","0","0","1","12","50","3","3","24","1","10","false","17","Rush"
"Ohio State","Indiana","Indiana","7","0","1","7","16","3","3","7","1","7","true","7","Rushing Touchdown"
"Ohio State","Indiana","Indiana","0","0","1","7","10","3","3","65","1","10","false","34","Kickoff"
"Ohio State","Indiana","Indiana","7","0","1","5","24","3","3","62","1","10","false","0","Rush"
"Ohio State","Indiana","Indiana","7","0","1","5","24","3","3","62","2","10","false","0","Pass Incompletion"
"Ohio State","Indiana","Indiana","7","0","1","5","24","3","3","62","3","10","false","2","Pass Reception"
"Ohio State","Indiana","Indiana","7","0","1","4","0","3","3","60","4","8","false","41","Punt"
"Ohio State","Indiana","Indiana","7","0","1","0","40","3","3","79","1","10","false","9","Pass Reception"
"Ohio State","Indiana","Indiana","7","0","1","0","0","3","3","70","0","1","false","0","End Period"
"Ohio State","Indiana","Indiana","7","0","1","0","0","3","3","70","2","1","false","4","Rush"
"Ohio State","Indiana","Indiana","7","0","1","0","0","3","3","70","0","1","false","0","End Period"
