"Id","School"
"2","Auburn"
"3","Birmingham-Southern"
"5","UAB"
"6","South Alabama"
"7","Amherst"
"8","Arkansas"
"9","Arizona State"
"11","Colorado Mesa"
"12","Arizona"
"13","Cal Poly"
"15","Anna Maria College"
"16","Sacramento State"
"17","Claremont-Mudd-Scripps College"
"18","Bridgewater State"
"21","San Diego State"
"23","San José State"
"24","Stanford"
"25","California"
"26","UCLA"
"29","Redlands"
"30","USC"
"32","Carroll University (WI)"
"33","Colby College"
"36","Colorado State"
"38","Colorado"
"40","Curry College"
"41","UConn"
"43","Yale"
"46","Georgetown"
"47","Howard"
"48","Delaware"
"49","Dubuque"
"50","Florida A&M"
"52","Florida State"
"53","Florida Tech"
"55","Jacksonville State"
"56","Stetson"
"57","Florida"
"58","South Florida"
"59","Georgia Tech"
"60","Morehouse College"
"61","Georgia"
"62","Hawai'i"
"63","Buena Vista"
"65","Grinnell"
"66","Iowa State"
"67","Luther"
"68","Boise State"
"70","Idaho"
"72","Elmhurst"
"74","Millikin"
"75","North Park"
"77","Northwestern"
"79","Southern Illinois"
"80","Chicago"
"81","Springfield"
"83","Depauw"
"84","Indiana"
"86","Rose-Hulman"
"87","Notre Dame"
"89","Wabash College"
"90","Pittsburg St"
"93","Murray State"
"95","Pikeville"
"96","Kentucky"
"97","Louisville"
"98","Western Kentucky"
"99","LSU"
"101","Eureka College"
"103","Boston College"
"107","Holy Cross"
"108","Harvard"
"109","MIT"
"110","Mass Maritime"
"111","Northeastern"
"112","Tufts"
"113","Massachusetts"
"114","Fitchburg State"
"118","Johns Hopkins University"
"119","Towson"
"120","Maryland"
"121","Bates"
"124","Augsburg"
"125","Grand Valley State University"
"126","Kalamazoo"
"127","Michigan State"
"128","Northern Michigan"
"129","Saginaw Valley State"
"130","Michigan"
"131","Wayne State (MI)"
"132","Bemidji State"
"133","St. Olaf"
"134","Minnesota Duluth"
"135","Minnesota"
"137","Missouri Western"
"138","Northwest Missouri St"
"142","Missouri"
"143","Washington University (St. Louis)"
"145","Ole Miss"
"146","Grove City College"
"147","Montana State"
"148","Montana Tech"
"149","Montana"
"150","Duke"
"151","East Carolina"
"152","NC State"
"153","North Carolina"
"154","Wake Forest"
"155","North Dakota"
"158","Nebraska"
"159","Dartmouth"
"160","New Hampshire"
"162","Hamline University"
"163","Princeton"
"164","Rutgers"
"166","New Mexico State"
"167","New Mexico"
"171","Columbia"
"172","Cornell"
"173","Hartwick"
"174","Hobart College"
"175","Ithaca College"
"183","Syracuse"
"184","University of Rochester (NY)"
"188","Baldwin Wallace"
"189","Bowling Green"
"190","Defiance College"
"191","Heidelberg"
"193","Miami (OH)"
"194","Ohio State"
"195","Ohio"
"196","Northeastern State"
"197","Oklahoma State"
"199","Southeastern Oklahoma State"
"200","Southern Nazarene"
"201","Oklahoma"
"202","Tulsa"
"203","Linfield College"
"204","Oregon State"
"205","Pacific (OR)"
"209","Lock Haven University"
"210","Millersville"
"213","Penn State"
"215","Slippery Rock"
"216","Susquehanna"
"218","Temple"
"219","Pennsylvania"
"221","Pittsburgh"
"222","Villanova"
"223","West Chester"
"225","Brown"
"227","Rhode Island"
"228","Clemson"
"231","Furman"
"233","South Dakota"
"235","Memphis"
"236","Chattanooga"
"237","Union (NY)"
"238","Vanderbilt"
"239","Baylor"
"241","McMurry"
"242","Rice"
"245","Texas A&M"
"246","Juniata College"
"247","Kings College (PA)"
"248","Houston"
"249","North Texas"
"251","Texas"
"252","BYU"
"253","Southern Utah"
"254","Utah"
"255","Knox College"
"256","James Madison"
"257","Richmond"
"258","Virginia"
"259","Virginia Tech"
"262","Lake Forest College"
"263","Loras College"
"264","Washington"
"265","Washington State"
"266","Beloit"
"267","LAKELAND"
"268","Lawrence University"
"271","Wisconsin-Oshkosh"
"272","Wisconsin-Platteville"
"273","MacMurray College"
"274","Maine Maritime"
"275","Wisconsin"
"276","Marshall"
"277","West Virginia"
"278","Fresno State"
"282","Indiana State"
"284","Stonehill"
"286","North Carolina Wesleyan"
"290","Georgia Southern"
"291","Methodist"
"293","Castleton"
"294","Jacksonville"
"295","Old Dominion"
"297","Hampden-Sydney"
"301","San Diego"
"302","UC Davis"
"304","Idaho State"
"306","Illinois Wesleyan"
"308","Ashland"
"309","Louisiana"
"311","Maine"
"314","Iona"
"316","Dickinson State University"
"317","Marietta"
"319","Oklahoma Baptist"
"322","Lafayette"
"323","Moravian"
"324","Coastal Carolina"
"326","Texas State"
"328","Utah State"
"330","Virginia St"
"331","Eastern Washington"
"332","Muskingum University"
"333","Alabama"
"336","Wesleyan University (CT)"
"338","Kennesaw State"
"340","Bowdoin"
"341","Frostburg State"
"344","Mississippi State"
"348","Hamilton"
"349","Army"
"351","Wingate"
"352","Kenyon"
"354","Olivet College"
"356","Illinois"
"359","Otterbein"
"363","Principia College"
"365","Alfred University"
"366","Ferrum"
"367","Gannon"
"374","St John Fisher University"
"375","St. Scholastica"
"379","UMass Dartmouth"
"386","Trinity University TX"
"388","Lebanon Valley"
"389","Upper Iowa University"
"390","Utica"
"391","Oberlin"
"395","St. Augustine's"
"396","Wheaton"
"398","Wilkes"
"399","UAlbany"
"402","Worcester St"
"409","Concordia-Wisconsin"
"411","Chapman"
"415","NEWBERG"
"417","Gallaudet"
"418","Hendrix College"
"421","Maranatha Baptist College"
"424","Capital"
"425","Northern State"
"426","University of Mount Union"
"427","Ohio Northern"
"433","Westminster College (MO)"
"437","Lake Erie"
"446","Martin Luther"
"452","Endicott College"
"455","West Virginia Wesleyan"
"471","Stevenson"
"479","Becker College"
"481","Mount Ida College"
"487","Bacone College"
"488","Baker University"
"490","Benedict College"
"492","Bethany (KS)"
"495","BLUEFIELD"
"507","Concordia University Nebraska"
"509","Crown College"
"510","Culver-Stockton College"
"511","Cumberland (KY)"
"512","Dakota State University"
"513","Dakota Wesleyan"
"527","Friends University"
"530","Graceland University"
"535","Haskell Indian Nations Univ"
"547","Kansas Wesleyan"
"548","Lagrange College"
"556","Malone"
"559","University of Mary"
"561","Mayville State"
"565","Midland Lutheran College"
"568","Minot State"
"583","Northwestern (MN)"
"587","Notre Dame College"
"597","Presentation"
"599","Robert Morris University-Illinois"
"611","Seton Hill"
"613","South Dakota Mines"
"616","Southwestern College"
"618","Sterling College"
"620","Taylor"
"625","Tiffin University"
"628","Valley City State"
"630","Wayland Baptist"
"2000","Abilene Christian"
"2001","Adams State"
"2003","Adrian"
"2005","Air Force"
"2006","Akron"
"2010","Alabama A&M"
"2011","Alabama State"
"2013","Albany State GA"
"2015","Albright"
"2016","Alcorn State"
"2017","Alderson-Broaddus"
"2018","Allegheny"
"2019","Allen"
"2022","American International"
"2023","Anderson (IN)"
"2025","Angelo State"
"2026","App State"
"2028","Arkansas-Monticello"
"2029","Arkansas-Pine Bluff"
"2032","Arkansas State"
"2033","Arkansas Tech"
"2038","Assumption"
"2042","Augustana (IL)"
"2043","Augustana University (SD)"
"2044","Aurora"
"2045","Austin"
"2046","Austin Peay"
"2047","Averett"
"2048","Avila University"
"2049","Azusa Pacific"
"2050","Ball State"
"2056","Belhaven"
"2059","Benedict"
"2060","Bentley"
"2062","Bethany (WV)"
"2064","Bethel University Tennessee"
"2065","Bethune-Cookman"
"2069","Black Hills State"
"2070","Blackburn"
"2071","Bloomsburg"
"2074","Bluffton"
"2075","Bowie State"
"2079","Bridgewater (VA)"
"2080","British Columbia"
"2083","Bucknell"
"2084","Buffalo"
"2085","Buffalo State"
"2086","Butler"
"2089","LIU Post"
"2094","California Lutheran University"
"2097","Campbell"
"2098","Campbellsville University"
"2101","Carleton"
"2102","Carnegie Mellon"
"2105","Carson-Newman College"
"2106","Carthage"
"2107","Catawba"
"2108","Catholic"
"2110","Central Arkansas"
"2115","Central Connecticut"
"2116","UCF"
"2117","Central Michigan"
"2118","Central Missouri"
"2119","Central State (OH)"
"2120","Central Washington"
"2121","Centre College Kentucky"
"2122","Central Oklahoma"
"2123","Chadron St"
"2127","Charleston Southern"
"2128","University Of Charleston (WV)"
"2129","Cheyney"
"2132","Cincinnati"
"2134","Clarion"
"2141","Coe College"
"2142","Colgate"
"2144","Colorado College"
"2146","Colorado School Of Mines"
"2148","Concord University"
"2151","Concordia University Chicago"
"2152","Concordia Moorhead"
"2155","Cornell College (IA)"
"2161","Cumberland (TN)"
"2166","Davidson"
